Country,country_type,election_year,election_date,largest_electorate,largest_winner,second_electorate,second_winner,third_electorate,third_winner,national_winner
United States,Developed,1964,1964-11-03,California,Lyndon B. Johnson,Texas,Lyndon B. Johnson,Florida,Lyndon B. Johnson,Lyndon B. Johnson
United States,Developed,1968,1968-11-05,California,Richard Nixon,Texas,Richard Nixon,Florida,Lyndon B. Johnson,Richard Nixon
United States,Developed,1972,1972-11-07,California,Richard Nixon,Texas,Richard Nixon,Florida,Richard Nixon,Richard Nixon
United States,Developed,1976,1976-11-02,California,Jimmy Carter,Texas,Jimmy Carter,Florida,Jimmy Carter,Jimmy Carter
United States,Developed,1980,1980-11-04,California,Ronald Reagan,Texas,Ronald Reagan,Florida,Ronald Reagan,Ronald Reagan
United States,Developed,1984,1984-11-06,California,Ronald Reagan,Texas,Ronald Reagan,Florida,Ronald Reagan,Ronald Reagan
United States,Developed,1988,1988-11-08,California,Michael Dukakis,Texas,George H. W. Bush,Florida,George H. W. Bush,George H. W. Bush
United States,Developed,1992,1992-11-03,California,Bill Clinton,Texas,George H. W. Bush,Florida,Bill Clinton,Bill Clinton
United States,Developed,1996,1996-11-05,California,Bill Clinton,Texas,Bob Dole,Florida,Bill Clinton,Bill Clinton
United States,Developed,2000,2000-11-07,California,Al Gore,Texas,George W. Bush,Florida,George W. Bush,George W. Bush
United States,Developed,2004,2004-11-02,California,John Kerry,Texas,George W. Bush,Florida,George W. Bush,George W. Bush
United States,Developed,2008,2008-11-04,California,Barack Obama,Texas,John McCain,Florida,Barack Obama,Barack Obama
United States,Developed,2012,2012-11-06,California,Barack Obama,Texas,Mitt Romney,Florida,Barack Obama,Barack Obama
United States,Developed,2016,2016-11-08,California,Hillary Clinton,Texas,Donald Trump,Florida,Donald Trump,Donald Trump
United States,Developed,2020,2020-11-03,California,Joe Biden,Texas,Donald Trump,Florida,Donald Trump,Joe Biden
United States,Developed,2024,2024-11-05,California,Donald Trump,Texas,Donald Trump,Florida,Donald Trump,Donald Trump
South Korea,Developed,1987,1987-12-16,Gyeonggi ,Roh Tae-woo,Seoul,Kim Young-sam,Busan,Roh Tae-woo,Roh Tae-woo
South Korea,Developed,1992,1992-12-18,Gyeonggi,Kim Young-sam,Seoul,Kim Young-sam,Busan,Kim Young-sam,Kim Young-sam
South Korea,Developed,1997,1997-12-18,Gyeonggi ,Kim Dae-jung,Seoul,Kim Dae-jung,Busan,Lee Hoi-chang,Kim Dae-jung
South Korea,Developed,2002,2002-12-19,Gyeonggi ,Roh Moo-hyun,Seoul,Roh Moo-hyun,Busan,Lee Hoi-chang,Roh Moo-hyun
South Korea,Developed,2007,2007-12-19,Gyeonggi ,Lee Myung-bak,Seoul,Lee Myung-bak,Busan,Lee Myung-bak,Lee Myung-bak
South Korea,Developed,2012,2012-12-19,Gyeonggi ,Park Geun-hye,Seoul,Moon Jae-in,Busan,Park Geun-hye,Park Geun-hye
South Korea,Developed,2017,2017-05-09,Gyeonggi ,Moon Jae-in,Seoul,Moon Jae-in,Busan,Hong Joon-pyo,Moon Jae-in
South Korea,Developed,2022,2022-03-09,Gyeonggi ,Lee Jae-myung,Seoul,Lee Jae-myung,Busan,Yoon Suk Yeol,Yoon Suk Yeol
Portugal,Developed,1976,1976-06-25,Lisboa,Ramalho Eanes,Porto,Ramalho Eanes,Set£bal,Otelo Saraiva de Carvalho,Ramalho Eanes
