Country,country_type,election_year,Region,Region_rank,national_winner,latitude,longitude,signal_rank_category
Brazil,Developing,1989,SÆo Paulo,1,Fernando Collor,,,Largest Electoral Signal
Brazil,Developing,1989,Minas Gerais,2,Fernando Collor,-19.9167,-43.9345,Second Electoral Signal
Brazil,Developing,1989,Rio de Janeiro,3,Fernando Collor,-22.9068,-43.1729,Third Electoral Signal
Brazil,Developing,1994,SÆo Paulo,1,Fernando Henrique Cardoso,,,Largest Electoral Signal
Brazil,Developing,1994,Minas Gerais,2,Fernando Henrique Cardoso,-19.9167,-43.9345,Second Electoral Signal
Brazil,Developing,1994,Rio de Janeiro,3,Fernando Henrique Cardoso,-22.9068,-43.1729,Third Electoral Signal
Brazil,Developing,1998,SÆo Paulo,1,Fernando Henrique Cardoso,,,Largest Electoral Signal
Brazil,Developing,1998,Minas Gerais,2,Fernando Henrique Cardoso,-19.9167,-43.9345,Second Electoral Signal
Brazil,Developing,1998,Rio de Janeiro,3,Fernando Henrique Cardoso,-22.9068,-43.1729,Third Electoral Signal
Brazil,Developing,2002,SÆo Paulo,1,Lula,,,Largest Electoral Signal
Brazil,Developing,2002,Minas Gerais,2,Lula,-19.9167,-43.9345,Second Electoral Signal
Brazil,Developing,2002,Rio de Janeiro,3,Lula,-22.9068,-43.1729,Third Electoral Signal
Brazil,Developing,2006,SÆo Paulo,1,Lula,,,Largest Electoral Signal
Brazil,Developing,2006,Minas Gerais,2,Lula,-19.9167,-43.9345,Second Electoral Signal
Brazil,Developing,2006,Rio de Janeiro,3,Lula,-22.9068,-43.1729,Third Electoral Signal
Brazil,Developing,2010,SÆo Paulo,1,Dilma Rousseff,,,Largest Electoral Signal
Brazil,Developing,2010,Minas Gerais,2,Dilma Rousseff,-19.9167,-43.9345,Second Electoral Signal
Brazil,Developing,2010,Rio de Janeiro,3,Dilma Rousseff,-22.9068,-43.1729,Third Electoral Signal
Brazil,Developing,2014,SÆo Paulo,1,Dilma Rousseff,,,Largest Electoral Signal
Brazil,Developing,2014,Minas Gerais,2,Dilma Rousseff,-19.9167,-43.9345,Second Electoral Signal
Brazil,Developing,2014,Rio de Janeiro,3,Dilma Rousseff,-22.9068,-43.1729,Third Electoral Signal
Brazil,Developing,2018,SÆo Paulo,1,Jair Bolsonaro,,,Largest Electoral Signal
Brazil,Developing,2018,Minas Gerais,2,Jair Bolsonaro,-19.9167,-43.9345,Second Electoral Signal
Brazil,Developing,2018,Rio de Janeiro,3,Jair Bolsonaro,-22.9068,-43.1729,Third Electoral Signal
Brazil,Developing,2022,SÆo Paulo,1,Lula,,,Largest Electoral Signal
Brazil,Developing,2022,Minas Gerais,2,Lula,-19.9167,-43.9345,Second Electoral Signal
Brazil,Developing,2022,Rio de Janeiro,3,Lula,-22.9068,-43.1729,Third Electoral Signal
Indonesia,Developing,2004,West Java,1,Susilo Bambang Yudhoyono,-6.9175,107.6191,Largest Electoral Signal
Indonesia,Developing,2004,East Java,2,Susilo Bambang Yudhoyono,-7.2504,112.7688,Second Electoral Signal
Indonesia,Developing,2004,Central Java,3,Susilo Bambang Yudhoyono,-7.15,110.1403,Third Electoral Signal
Indonesia,Developing,2009,West Java,1,Susilo Bambang Yudhoyono,-6.9175,107.6191,Largest Electoral Signal
Indonesia,Developing,2009,East Java,2,Susilo Bambang Yudhoyono,-7.2504,112.7688,Second Electoral Signal
Indonesia,Developing,2009,Central Java,3,Susilo Bambang Yudhoyono,-7.15,110.1403,Third Electoral Signal
Indonesia,Developing,2014,West Java,1,Joko Widodo,-6.9175,107.6191,Largest Electoral Signal
Indonesia,Developing,2014,East Java,2,Joko Widodo,-7.2504,112.7688,Second Electoral Signal
Indonesia,Developing,2014,Central Java,3,Joko Widodo,-7.15,110.1403,Third Electoral Signal
