Country,country_type,election_year,election_date,largest_electorate,largest_winner,second_electorate,second_winner,third_electorate,third_winner,national_winner
United States,Developed,1964,11/3/1964,California,Lyndon B. Johnson,Texas,Lyndon B. Johnson,Florida,Lyndon B. Johnson,Lyndon B. Johnson
United States,Developed,1968,11/5/1968,California,Richard Nixon,Texas,Richard Nixon,Florida,Lyndon B. Johnson,Richard Nixon
United States,Developed,1972,11/7/1972,California,Richard Nixon,Texas,Richard Nixon,Florida,Richard Nixon,Richard Nixon
United States,Developed,1976,11/2/1976,California,Jimmy Carter,Texas,Jimmy Carter,Florida,Jimmy Carter,Jimmy Carter
United States,Developed,1980,11/4/1980,California,Ronald Reagan,Texas,Ronald Reagan,Florida,Ronald Reagan,Ronald Reagan
United States,Developed,1984,11/6/1984,California,Ronald Reagan,Texas,Ronald Reagan,Florida,Ronald Reagan,Ronald Reagan
United States,Developed,1988,11/8/1988,California,Michael Dukakis,Texas,George H. W. Bush,Florida,George H. W. Bush,George H. W. Bush
United States,Developed,1992,11/3/1992,California,Bill Clinton,Texas,George H. W. Bush,Florida,Bill Clinton,Bill Clinton
United States,Developed,1996,11/5/1996,California,Bill Clinton,Texas,Bob Dole,Florida,Bill Clinton,Bill Clinton
United States,Developed,2000,11/7/2000,California,Al Gore,Texas,George W. Bush,Florida,George W. Bush,George W. Bush
United States,Developed,2004,11/2/2004,California,John Kerry,Texas,George W. Bush,Florida,George W. Bush,George W. Bush
United States,Developed,2008,11/4/2008,California,Barack Obama,Texas,John McCain,Florida,Barack Obama,Barack Obama
United States,Developed,2012,11/6/2012,California,Barack Obama,Texas,Mitt Romney,Florida,Barack Obama,Barack Obama
United States,Developed,2016,11/8/2016,California,Hillary Clinton,Texas,Donald Trump,Florida,Donald Trump,Donald Trump
United States,Developed,2020,11/3/2020,California,Joe Biden,Texas,Donald Trump,Florida,Donald Trump,Joe Biden
United States,Developed,2024,11/5/2024,California,Donald Trump,Texas,Donald Trump,Florida,Donald Trump,Donald Trump
South Korea,Developed,1987,12/16/1987,Gyeonggi ,Roh Tae-woo,Seoul,Kim Young-sam,Busan,Roh Tae-woo,Roh Tae-woo
South Korea,Developed,1992,12/18/1992,Gyeonggi,Kim Young-sam,Seoul,Kim Young-sam,Busan,Kim Young-sam,Kim Young-sam
South Korea,Developed,1997,12/18/1997,Gyeonggi ,Kim Dae-jung,Seoul,Kim Dae-jung,Busan,Lee Hoi-chang,Kim Dae-jung
South Korea,Developed,2002,12/19/2002,Gyeonggi ,Roh Moo-hyun,Seoul,Roh Moo-hyun,Busan,Lee Hoi-chang,Roh Moo-hyun
South Korea,Developed,2007,12/19/2007,Gyeonggi ,Lee Myung-bak,Seoul,Lee Myung-bak,Busan,Lee Myung-bak,Lee Myung-bak
South Korea,Developed,2012,12/19/2012,Gyeonggi ,Park Geun-hye,Seoul,Moon Jae-in,Busan,Park Geun-hye,Park Geun-hye
South Korea,Developed,2017,5/9/2017,Gyeonggi ,Moon Jae-in,Seoul,Moon Jae-in,Busan,Hong Joon-pyo,Moon Jae-in
South Korea,Developed,2022,3/9/2022,Gyeonggi ,Lee Jae-myung,Seoul,Lee Jae-myung,Busan,Yoon Suk Yeol,Yoon Suk Yeol
Portugal,Developed,1976,6/25/1976,Lisboa,Ramalho Eanes,Porto,Ramalho Eanes,Set£bal,Otelo Saraiva de Carvalho,Ramalho Eanes
Portugal,Developed,1980,12/7/1980,Lisboa,Ramalho Eanes,Porto,Ramalho Eanes,Set£bal,Ramalho Eanes,Ramalho Eanes
Portugal,Developed,1986,1/26/1986,Lisboa,M rio Soares,Porto,M rio Soares,Set£bal,M rio Soares,M rio Soares
Portugal,Developed,1991,1/13/1991,Lisboa,M rio Soares,Porto,M rio Soares,Set£bal,M rio Soares,M rio Soares
Portugal,Developed,1996,1/14/1996,Lisboa,Jorge Sampaio,Porto,Jorge Sampaio,Set£bal,Jorge Sampaio,Jorge Sampaio
Portugal,Developed,2001,1/14/2001,Lisboa,Jorge Sampaio,Porto,Jorge Sampaio,Set£bal,Jorge Sampaio,Jorge Sampaio
